iter	Passed	Remaining
0	147	147663
1	150	74877
2	151	50234
3	152	37995
4	153	30630
5	155	25683
6	156	22185
7	157	19547
8	158	17488
9	162	16038
10	163	14694
11	164	13575
12	166	12631
13	167	11798
14	168	11075
15	169	10438
16	170	9879
17	171	9377
18	174	8984
19	175	8602
20	177	8259
21	178	7938
22	179	7636
23	180	7359
24	182	7102
25	183	6869
26	184	6651
27	185	6453
28	187	6276
29	189	6128
30	192	6010
31	193	5854
32	194	5706
33	195	5567
34	197	5439
35	198	5313
36	199	5193
37	200	5082
38	201	4974
39	203	4891
40	205	4800
41	206	4713
42	208	4631
43	209	4544
44	210	4467
45	211	4388
46	212	4313
47	213	4243
48	215	4173
49	216	4105
50	217	4056
51	219	3997
52	221	3949
53	222	3892
54	223	3839
55	224	3786
56	225	3734
57	226	3685
58	228	3639
59	229	3592
60	230	3548
61	232	3521
62	236	3510
63	237	3470
64	238	3431
65	239	3392
66	240	3355
67	242	3319
68	243	3284
69	244	3249
70	245	3215
71	247	3194
72	249	3165
73	251	3143
74	252	3112
75	253	3082
76	254	3054
77	255	3025
78	257	2996
79	258	2969
80	259	2943
81	260	2916
82	261	2885
83	262	2867
84	264	2848
85	265	2825
86	267	2802
87	268	2780
88	269	2756
89	270	2733
90	271	2713
91	272	2691
92	273	2670
93	275	2652
94	276	2633
95	278	2620
96	279	2602
97	280	2584
98	281	2566
99	283	2547
100	284	2529
101	285	2511
102	286	2494
103	287	2477
104	288	2462
105	290	2446
106	291	2431
107	293	2420
108	294	2408
109	296	2395
110	297	2380
111	298	2367
112	299	2353
113	301	2340
114	302	2326
115	303	2314
116	304	2298
117	305	2285
118	306	2271
119	309	2271
120	311	2259
121	312	2245
122	313	2233
123	314	2221
124	315	2210
125	317	2199
126	318	2189
127	319	2178
128	321	2167
129	322	2156
130	324	2149
131	325	2141
132	327	2133
133	328	2123
134	329	2113
135	330	2102
136	332	2095
137	333	2085
138	335	2076
139	336	2066
140	337	2057
141	338	2047
142	340	2042
143	342	2034
144	343	2025
145	344	2016
146	346	2008
147	347	1999
148	348	1991
149	349	1982
150	351	1974
151	352	1966
152	354	1960
153	355	1953
154	357	1948
155	358	1939
156	359	1932
157	361	1925
158	362	1918
159	364	1911
160	364	1902
161	366	1894
162	367	1887
163	369	1882
164	371	1878
165	372	1872
166	373	1865
167	375	1857
168	376	1851
169	377	1845
170	379	1837
171	380	1830
172	381	1823
173	382	1816
174	384	1813
175	385	1807
176	387	1801
177	388	1794
178	389	1787
179	390	1781
180	392	1774
181	393	1767
182	394	1760
183	395	1753
184	396	1747
185	397	1740
186	399	1736
187	400	1731
188	402	1726
189	403	1720
190	405	1715
191	406	1709
192	407	1703
193	408	1698
194	409	1692
195	411	1687
196	412	1681
197	413	1675
198	415	1672
199	416	1667
200	418	1662
201	419	1657
202	420	1651
203	421	1646
204	423	1640
205	424	1635
206	425	1629
207	426	1624
208	427	1619
209	429	1615
210	430	1611
211	432	1607
212	434	1603
213	435	1598
214	436	1593
215	437	1588
216	438	1583
217	440	1578
218	441	1573
219	442	1568
220	443	1563
221	445	1560
222	446	1557
223	448	1553
224	449	1549
225	451	1544
226	452	1540
227	453	1535
228	454	1530
229	456	1526
230	457	1521
231	458	1517
232	459	1513
233	461	1509
234	463	1507
235	464	1504
236	465	1499
237	467	1495
238	468	1491
239	469	1487
240	470	1482
241	472	1478
242	473	1474
243	474	1469
244	476	1467
245	478	1465
246	479	1461
247	480	1457
248	481	1453
249	482	1448
250	484	1444
251	485	1441
252	486	1437
253	488	1433
254	489	1429
255	492	1432
256	494	1429
257	495	1425
258	496	1421
259	498	1418
260	499	1414
261	500	1410
262	502	1406
263	503	1402
264	504	1398
265	506	1398
266	508	1395
267	509	1391
268	510	1387
269	511	1383
270	513	1380
271	514	1376
272	515	1372
273	518	1372
274	522	1377
275	523	1373
276	525	1370
277	526	1366
278	527	1363
279	528	1359
280	529	1355
281	531	1352
282	532	1350
283	534	1348
284	536	1346
285	538	1343
286	539	1340
287	540	1337
288	542	1333
289	543	1330
290	544	1327
291	546	1325
292	548	1323
293	549	1319
294	550	1316
295	552	1314
296	554	1311
297	555	1308
298	557	1306
299	558	1302
300	559	1299
301	560	1296
302	562	1292
303	563	1289
304	564	1286
305	565	1282
306	568	1282
307	569	1280
308	571	1277
309	572	1274
310	573	1271
311	575	1268
312	576	1265
313	577	1261
314	578	1258
315	580	1255
316	581	1253
317	583	1251
318	585	1249
319	586	1246
320	588	1243
321	589	1241
322	591	1238
323	592	1235
324	593	1233
325	595	1230
326	596	1228
327	599	1227
328	601	1226
329	602	1223
330	604	1221
331	605	1218
332	607	1216
333	608	1213
334	609	1210
335	610	1207
336	613	1207
337	615	1205
338	617	1203
339	618	1201
340	620	1198
341	621	1195
342	622	1192
343	623	1189
344	625	1187
345	627	1186
346	629	1184
347	631	1182
348	632	1179
349	633	1176
350	634	1173
351	636	1170
352	637	1168
353	638	1165
354	639	1162
355	641	1159
356	643	1158
357	644	1156
358	646	1154
359	647	1151
360	649	1149
361	650	1146
362	652	1144
363	653	1141
364	654	1139
365	656	1136
366	658	1135
367	660	1133
368	661	1131
369	663	1129
370	664	1126
371	665	1124
372	667	1121
373	668	1118
374	669	1116
375	670	1113
376	672	1110
377	673	1108
378	675	1106
379	677	1105
380	678	1102
381	680	1100
382	681	1097
383	682	1095
384	684	1092
385	685	1089
386	686	1087
387	688	1085
388	689	1082
389	691	1081
390	692	1078
391	693	1076
392	695	1073
393	696	1070
394	697	1068
395	698	1065
396	699	1063
397	701	1060
398	702	1058
399	704	1057
400	706	1055
401	707	1052
402	708	1050
403	710	1047
404	711	1045
405	712	1042
406	713	1039
407	714	1037
408	715	1034
409	717	1031
410	719	1030
411	720	1028
412	722	1026
413	723	1023
414	724	1021
415	725	1018
416	727	1016
417	728	1014
418	729	1011
419	730	1009
420	732	1007
421	734	1005
422	735	1003
423	737	1001
424	738	999
425	739	996
426	741	994
427	742	992
428	743	989
429	745	987
430	746	985
431	747	982
432	749	981
433	751	979
434	752	977
435	753	975
436	755	972
437	756	970
438	757	968
439	758	965
440	759	963
441	761	961
442	762	959
443	764	957
444	766	955
445	767	953
446	768	951
447	769	948
448	771	946
449	772	944
450	773	941
451	775	939
452	776	937
453	777	935
454	779	933
455	781	931
456	782	930
457	784	927
458	785	925
459	786	923
460	787	921
461	789	918
462	790	916
463	791	914
464	792	912
465	794	910
466	795	908
467	797	906
468	798	904
469	799	901
470	801	899
471	802	897
472	803	895
473	805	893
474	806	891
475	807	888
476	808	886
477	811	885
478	812	883
479	813	881
480	814	879
481	816	877
482	817	874
483	818	872
484	819	870
485	821	868
486	822	866
487	824	864
488	825	862
489	827	861
490	828	859
491	830	857
492	832	855
493	834	854
494	835	852
495	839	853
496	841	851
497	843	850
498	845	848
499	846	846
500	848	845
501	850	843
502	851	841
503	853	840
504	855	838
505	857	837
506	860	836
507	862	834
508	863	833
509	865	831
510	867	830
511	869	828
512	872	827
513	873	826
514	875	824
515	877	823
516	879	821
517	880	819
518	882	818
519	885	816
520	887	816
521	889	814
522	891	812
523	892	810
524	894	809
525	896	808
526	898	806
527	901	805
528	903	804
529	904	802
530	906	801
531	908	799
532	910	797
533	912	796
534	914	794
535	915	792
536	917	790
537	919	789
538	921	788
539	924	787
540	926	785
541	927	784
542	929	782
543	930	780
544	931	777
545	932	775
546	934	773
547	935	771
548	937	770
549	939	768
550	941	766
551	942	764
552	943	762
553	945	760
554	946	758
555	948	757
556	949	755
557	951	753
558	953	751
559	954	749
560	956	748
561	957	746
562	958	743
563	959	741
564	960	739
565	962	738
566	963	735
567	964	733
568	966	731
569	968	730
570	970	729
571	971	727
572	972	724
573	976	724
574	978	723
575	979	721
576	984	721
577	985	719
578	986	717
579	988	715
580	989	713
581	991	711
582	992	710
583	993	707
584	995	706
585	997	704
586	999	703
587	1001	701
588	1002	699
589	1004	698
590	1005	695
591	1006	693
592	1008	691
593	1009	689
594	1010	687
595	1012	686
596	1014	684
597	1015	682
598	1017	680
599	1018	679
600	1020	677
601	1021	675
602	1023	673
603	1024	671
604	1026	669
605	1031	670
606	1033	668
607	1034	667
608	1036	665
609	1037	663
610	1038	661
611	1040	659
612	1041	657
613	1045	657
614	1047	655
615	1049	654
616	1051	652
617	1053	651
618	1055	649
619	1056	647
620	1059	646
621	1061	645
622	1063	643
623	1064	641
624	1066	639
625	1067	637
626	1068	635
627	1069	633
628	1071	631
629	1072	629
630	1074	628
631	1077	627
632	1079	625
633	1080	623
634	1082	622
635	1083	620
636	1084	618
637	1085	616
638	1087	614
639	1089	612
640	1091	611
641	1093	609
642	1094	607
643	1095	605
644	1096	603
645	1098	601
646	1099	600
647	1101	598
648	1102	596
649	1106	595
650	1108	594
651	1110	592
652	1111	590
653	1113	589
654	1115	587
655	1116	585
656	1117	583
657	1122	583
658	1124	581
659	1125	580
660	1127	578
661	1128	576
662	1129	574
663	1130	572
664	1131	570
665	1133	568
666	1135	566
667	1137	565
668	1139	563
669	1140	561
670	1142	560
671	1143	558
672	1144	556
673	1145	554
674	1146	552
675	1148	550
676	1150	548
677	1152	547
678	1153	545
679	1155	543
680	1156	541
681	1157	539
682	1158	537
683	1159	535
684	1160	533
685	1162	532
686	1164	530
687	1165	528
688	1166	526
689	1168	525
690	1169	523
691	1171	521
692	1172	519
693	1173	517
694	1174	515
695	1176	513
696	1177	511
697	1178	509
698	1181	508
699	1183	507
700	1185	505
701	1186	503
702	1187	501
703	1188	499
704	1189	497
705	1191	496
706	1192	494
707	1193	492
708	1195	490
709	1198	489
710	1199	487
711	1200	485
712	1202	483
713	1203	482
714	1205	480
715	1206	478
716	1207	476
717	1209	474
718	1211	473
719	1213	471
720	1214	469
721	1215	468
722	1217	466
723	1218	464
724	1219	462
725	1221	460
726	1222	458
727	1223	457
728	1225	455
729	1228	454
730	1229	452
731	1231	450
732	1232	448
733	1233	447
734	1235	445
735	1236	443
736	1237	441
737	1239	439
738	1241	438
739	1243	436
740	1245	435
741	1246	433
742	1248	431
743	1249	429
744	1251	428
745	1252	426
746	1254	424
747	1255	423
748	1258	421
749	1260	420
750	1261	418
751	1262	416
752	1264	414
753	1265	412
754	1266	411
755	1268	409
756	1269	407
757	1271	406
758	1273	404
759	1275	402
760	1276	400
761	1277	399
762	1279	397
763	1280	395
764	1281	393
765	1283	392
766	1284	390
767	1286	388
768	1288	387
769	1290	385
770	1291	383
771	1292	381
772	1293	379
773	1294	378
774	1296	376
775	1297	374
776	1298	372
777	1299	370
778	1301	369
779	1304	367
780	1305	366
781	1307	364
782	1308	362
783	1309	360
784	1311	359
785	1312	357
786	1313	355
787	1315	353
788	1317	352
789	1319	350
790	1321	349
791	1322	347
792	1323	345
793	1324	343
794	1326	341
795	1327	340
796	1328	338
797	1329	336
798	1331	334
799	1333	333
800	1335	331
801	1336	330
802	1338	328
803	1339	326
804	1340	324
805	1342	323
806	1343	321
807	1344	319
808	1346	317
809	1361	319
810	1362	317
811	1364	315
812	1366	314
813	1367	312
814	1369	310
815	1370	309
816	1371	307
817	1373	305
818	1374	303
819	1376	302
820	1377	300
821	1379	298
822	1381	297
823	1382	295
824	1384	293
825	1385	291
826	1386	290
827	1388	288
828	1390	286
829	1391	285
830	1392	283
831	1394	281
832	1396	279
833	1397	278
834	1399	276
835	1400	274
836	1402	273
837	1404	271
838	1405	269
839	1407	268
840	1408	266
841	1410	264
842	1411	262
843	1413	261
844	1414	259
845	1415	257
846	1417	255
847	1418	254
848	1420	252
849	1421	250
850	1422	249
851	1425	247
852	1426	245
853	1428	244
854	1430	242
855	1431	240
856	1433	239
857	1434	237
858	1436	235
859	1437	234
860	1439	232
861	1441	230
862	1443	229
863	1445	227
864	1446	225
865	1448	224
866	1449	222
867	1451	220
868	1452	218
869	1453	217
870	1457	215
871	1459	214
872	1461	212
873	1462	210
874	1463	209
875	1465	207
876	1466	205
877	1467	203
878	1469	202
879	1470	200
880	1472	198
881	1473	197
882	1475	195
883	1477	193
884	1478	192
885	1479	190
886	1480	188
887	1481	186
888	1483	185
889	1485	183
890	1486	181
891	1488	180
892	1489	178
893	1491	176
894	1492	175
895	1494	173
896	1495	171
897	1496	169
898	1497	168
899	1499	166
900	1500	164
901	1502	163
902	1503	161
903	1504	159
904	1506	158
905	1507	156
906	1508	154
907	1509	152
908	1510	151
909	1512	149
910	1513	147
911	1514	146
912	1516	144
913	1517	142
914	1519	141
915	1520	139
916	1521	137
917	1522	136
918	1524	134
919	1525	132
920	1526	130
921	1527	129
922	1529	127
923	1530	125
924	1532	124
925	1534	122
926	1535	120
927	1536	119
928	1538	117
929	1539	115
930	1540	114
931	1541	112
932	1543	110
933	1544	109
934	1546	107
935	1548	105
936	1549	104
937	1551	102
938	1552	100
939	1553	99
940	1554	97
941	1555	95
942	1557	94
943	1558	92
944	1559	90
945	1561	89
946	1563	87
947	1565	85
948	1566	84
949	1568	82
950	1569	80
951	1571	79
952	1572	77
953	1573	75
954	1575	74
955	1577	72
956	1579	70
957	1580	69
958	1581	67
959	1582	65
960	1584	64
961	1585	62
962	1587	60
963	1588	59
964	1590	57
965	1593	56
966	1596	54
967	1597	52
968	1598	51
969	1599	49
970	1601	47
971	1602	46
972	1603	44
973	1605	42
974	1607	41
975	1609	39
976	1611	37
977	1612	36
978	1613	34
979	1614	32
980	1616	31
981	1617	29
982	1620	28
983	1622	26
984	1623	24
985	1625	23
986	1626	21
987	1627	19
988	1629	18
989	1630	16
990	1631	14
991	1632	13
992	1634	11
993	1635	9
994	1637	8
995	1639	6
996	1641	4
997	1642	3
998	1643	1
999	1644	0
