iter	Passed	Remaining
0	139	139469
1	141	70531
2	143	47547
3	145	36141
4	147	29335
5	149	24742
6	151	21486
7	153	19038
8	155	17086
9	156	15537
10	158	14268
11	161	13266
12	163	12401
13	165	11624
14	167	10968
15	168	10384
16	170	9863
17	172	9388
18	173	8953
19	175	8588
20	176	8236
21	178	7919
22	179	7618
23	180	7346
24	181	7089
25	182	6842
26	183	6616
27	184	6406
28	185	6212
29	186	6028
30	187	5854
31	188	5689
32	188	5530
33	189	5379
34	190	5249
35	191	5119
36	191	4992
37	192	4870
38	193	4759
39	193	4654
40	194	4553
41	195	4457
42	196	4362
43	196	4272
44	197	4188
45	197	4105
46	198	4027
47	199	3951
48	199	3878
49	200	3808
50	201	3741
51	201	3677
52	202	3615
53	202	3555
54	203	3497
55	204	3441
56	205	3391
57	205	3342
58	206	3292
59	207	3245
60	207	3200
61	208	3155
62	209	3112
63	209	3069
64	210	3028
65	211	2987
66	211	2949
67	212	2906
68	212	2869
69	213	2832
70	213	2798
71	214	2765
72	215	2733
73	215	2700
74	216	2668
75	216	2637
76	217	2607
77	218	2578
78	218	2549
79	219	2521
80	220	2497
81	220	2471
82	221	2447
83	222	2423
84	222	2396
85	223	2372
86	223	2347
87	224	2326
88	225	2303
89	225	2281
90	226	2260
91	226	2239
92	227	2218
93	228	2198
94	228	2178
95	229	2158
96	229	2140
97	230	2120
98	230	2102
99	231	2083
100	232	2066
101	232	2046
102	233	2029
103	233	2012
104	234	1995
105	234	1979
106	235	1966
107	236	1952
108	237	1938
109	237	1923
110	238	1908
111	238	1893
112	239	1879
113	239	1865
114	240	1851
115	241	1837
116	241	1824
117	242	1811
118	242	1798
119	243	1786
120	244	1774
121	244	1762
122	245	1748
123	245	1736
124	246	1724
125	247	1713
126	247	1702
127	248	1690
128	248	1679
129	249	1668
130	250	1658
131	251	1651
132	251	1642
133	252	1631
134	253	1621
135	253	1611
136	254	1601
137	254	1591
138	255	1581
139	255	1571
140	256	1562
141	257	1553
142	257	1543
143	258	1534
144	258	1525
145	259	1517
146	260	1508
147	260	1500
148	261	1491
149	261	1483
150	262	1475
151	262	1467
152	263	1459
153	264	1451
154	264	1443
155	265	1435
156	266	1429
157	266	1422
158	267	1415
159	268	1407
160	268	1400
161	269	1393
162	269	1386
163	270	1379
164	271	1372
165	271	1365
166	272	1358
167	272	1351
168	273	1344
169	274	1337
170	274	1331
171	275	1324
172	275	1318
173	276	1311
174	276	1305
175	277	1299
176	278	1293
177	278	1287
178	279	1281
179	280	1275
180	280	1268
181	281	1263
182	281	1257
183	282	1251
184	282	1246
185	283	1240
186	283	1234
187	284	1229
188	285	1223
189	285	1218
190	286	1212
191	286	1207
192	287	1201
193	288	1196
194	288	1191
195	289	1185
196	289	1180
197	290	1175
198	290	1170
199	291	1164
200	291	1159
201	292	1154
202	293	1150
203	293	1145
204	294	1140
205	294	1135
206	295	1131
207	295	1126
208	296	1122
209	297	1118
210	297	1113
211	298	1109
212	299	1104
213	299	1100
214	300	1095
215	300	1091
216	301	1087
217	301	1082
218	302	1078
219	302	1074
220	303	1069
221	304	1065
222	304	1061
223	305	1057
224	305	1053
225	306	1049
226	307	1046
227	307	1042
228	308	1038
229	309	1034
230	309	1030
231	310	1027
232	310	1023
233	311	1020
234	312	1017
235	313	1013
236	313	1009
237	314	1005
238	314	1001
239	315	998
240	315	994
241	316	990
242	316	986
243	317	983
244	317	979
245	318	975
246	319	972
247	319	969
248	320	965
249	320	961
250	321	958
251	321	955
252	322	952
253	323	948
254	323	945
255	324	942
256	324	939
257	325	935
258	326	932
259	326	930
260	327	927
261	328	923
262	328	920
263	329	917
264	329	914
265	330	911
266	330	908
267	331	905
268	331	901
269	332	898
270	333	896
